"","plot","mortality"
"341","MS1_sbs_0679_5454",1
"342","MS1_sbs_0681_5454",20
"343","MS1_sbs_0682_5454",10
"344","MS1_sbs_0683_5454",16
"345","MS1_sbs_0684_5257",19
"346","MS1_sbs_0691_5455",15
"347","MS1_sbs_0693_5455",16
"348","MS1_sbs_0694_5257",15
"349","MS1_sbs_0697_5454",19
"350","MS1_sbs_0699_5257",19
"351","MS1_sbs_0700_5455",11
"352","MS1_sbs_0701_5454",14
"353","MS1_sbs_0704_5454",3
"354","MS1_sbs_0705_5454",11
"355","MS1_sbs_0710_5454",19
"356","MS1_sbs_0711_5454",2
"357","MS1_sbs_0712_5454",13
"358","MS1_sbs_0713_5454",19
"359","MS1_sbs_0714_5454",8
"360","MS1_sbs_0717_5257",18
"361","MS1_sbs_0719_5454",5
"362","MS1_sbs_0721_5454",6
"363","MS1_sbs_0723_5257",18
"364","MS1_sbs_0725_5454",2
"365","MS1_sbs_0727_5257",20
"366","MS1_sbs_0734_5454",20
"367","MS1_sbs_0737_5454",13
"368","MS1_sbs_0738_5257",14
"369","MS1_sbs_0743_5455",20
"370","MS1_sbs_0745_5257",12
"371","MS1_sbs_0746_5454",9
"372","MS1_sbs_0747_5454",8
"373","MS1_sbs_0750_5454",6
"374","MS1_sbs_0752_5454",2
"375","MS1_sbs_0753_5454",19
"376","MS1_sbs_0759_5454",11
"377","MS1_sbs_0764_5454",9
"378","MS1_sbs_0765_5257",20
"379","MS1_sbs_0766_5454",13
"380","MS1_sbs_0768_5454",19
"381","MS1_sbs_0769_5454",3
"382","MS1_sbs_0772_5454",11
"383","MS1_sbs_0774_5454",2
"384","MS1_sbs_0776_5454",10
"385","MS1_sbs_0778_5454",7
"386","MS1_sbs_0780_5454",20
"387","MS1_sbs_0781_5257",12
"388","MS1_sbs_0782_5454",20
"389","MS1_sbs_0783_5257",14
"390","MS1_sbs_0785_5455",20
"391","MS1_sbs_0786_5455",4
"392","MS1_sbs_0789_5257",10
"393","MS1_sbs_0790_5454",10
"394","MS1_sbs_0791_5257",12
"395","MS1_sbs_0792_5455",2
"396","MS1_sbs_0794_5257",19
"397","MS1_sbs_0795_5454",6
"398","MS1_sbs_0796_5257",18
"399","MS1_sbs_0798_5454",20
"400","MS1_sbs_0799_5257",20
"401","MS1_sbs_0802_5454",17
"402","MS1_sbs_0803_5454",19
"403","MS1_sbs_0807_5455",2
"404","MS1_sbs_0808_5454",13
"405","MS1_sbs_0809_5257",16
"406","MS1_sbs_0811_5454",0
"407","MS1_sbs_0814_5454",19
"408","MS1_sbs_0816_5455",12
"409","MS1_sbs_0819_5454",12
"410","MS1_sbs_0820_5454",10
"411","MS1_sbs_0821_5455",8
"412","MS1_sbs_0822_5454",20
"413","MS1_sbs_0823_5455",3
"414","MS1_sbs_0824_5455",0
"415","MS1_sbs_0826_5454",0
"416","MS1_sbs_0827_5454",3
"417","MS1_sbs_0830_5455",0
"418","MS1_sbs_0831_5257",20
"419","MS1_sbs_0832_5454",20
"420","MS1_sbs_0833_5257",19
"421","MS1_sbs_0834_5454",20
"422","MS1_sbs_0835_5454",13
"423","MS1_sbs_0838_5454",12
"424","MS1_sbs_0840_5257",18
"425","MS1_sbs_0841_5257",20
"426","MS1_sbs_0847_5454",15
"427","MS1_sbs_0848_5454",8
"428","MS1_sbs_0852_5257",20
"429","MS1_sbs_0854_5454",2
"430","MS1_sbs_0856_5257",18
"431","MS1_sbs_0857_5257",19
"432","MS1_sbs_0858_5455",0
"433","MS1_sbs_0859_5454",20
"434","MS1_sbs_0862_5257",19
"435","MS1_sbs_0863_5257",20
"436","MS1_sbs_0867_5257",17
"437","MS1_sbs_0869_5257",19
"438","MS1_sbs_0870_5257",20
"439","MS1_sbs_0873_5454",1
"440","MS1_sbs_0876_5257",19
"441","MS1_sbs_0877_5454",3
"442","MS1_sbs_0879_5454",17
"443","MS1_sbs_0880_5257",13
"444","MS1_sbs_0885_5455",19
"445","MS1_sbs_0889_5257",20
"446","MS1_sbs_0892_5257",10
"447","MS1_sbs_0893_5454",20
"448","MS1_sbs_0896_5257",17
"449","MS1_sbs_0897_5257",12
"450","MS1_sbs_0898_5455",3
"451","MS1_sbs_0900_5257",17
"452","MS1_sbs_0901_5454",13
"453","MS1_sbs_0903_5257",17
"454","MS1_sbs_0904_5454",8
"455","MS1_sbs_0905_5454",0
"456","MS1_sbs_0906_5257",19
"457","MS1_sbs_0908_5257",16
"458","MS1_sbs_0910_5257",18
"459","MS1_sbs_0911_5257",20
"460","MS1_sbs_0913_5454",18
"461","MS1_sbs_0916_5454",17
"462","MS1_sbs_0917_5454",11
"463","MS1_sbs_0918_5454",16
"464","MS1_sbs_0922_5454",18
"465","MS1_sbs_0923_5455",3
"466","MS1_sbs_0928_5454",15
"467","MS1_sbs_0931_5455",2
"468","MS1_sbs_0932_5257",19
"469","MS1_sbs_0933_5454",20
"470","MS1_sbs_0936_5454",20
"471","MS1_sbs_0941_5257",18
"472","MS1_sbs_0942_5454",7
"473","MS1_sbs_0945_5455",12
"474","MS1_sbs_0948_5455",9
"475","MS1_sbs_0949_5257",1
"476","MS1_sbs_0950_5454",7
"477","MS1_sbs_0951_5454",9
"478","MS1_sbs_0952_5454",12
"479","MS1_sbs_0955_5454",9
"480","MS1_sbs_0956_5454",19
"481","MS1_sbs_0957_5455",2
"482","MS1_sbs_0959_5257",10
"483","MS1_sbs_0960_5257",19
"484","MS1_sbs_0962_5455",13
"485","MS1_sbs_0963_5455",8
"486","MS1_sbs_0964_5257",18
"487","MS1_sbs_0967_5257",18
"488","MS1_sbs_0968_5455",5
"489","MS1_sbs_0969_5257",16
"490","MS1_sbs_0970_5257",20
"491","MS1_sbs_0974_5455",17
"492","MS1_sbs_0975_5454",4
"493","MS1_sbs_0976_5455",3
"494","MS1_sbs_0977_5454",8
"495","MS1_sbs_0978_5455",1
"496","MS1_sbs_0980_5257",19
"497","MS1_sbs_0983_5455",4
"498","MS1_sbs_0984_5455",10
"499","MS1_sbs_0986_5257",3
"500","MS1_sbs_0990_5257",19
"501","MS1_sbs_0991_5454",1
"502","MS1_sbs_0992_5257",16
"503","MS1_sbs_0994_5455",3
"504","MS1_sbs_0995_5455",7
"505","MS1_sbs_0997_5257",16
"506","MS1_sbs_0998_5257",8
"507","MS1_sbs_0999_5257",18
"508","MS1_sbs_1000_5454",20
"509","MS1_sbs_1001_5257",1
"510","MS1_sbs_1002_5454",20
"511","MS1_sbs_1004_5257",1
"512","MS1_sbs_1008_5257",16
"513","MS1_sbs_1009_5257",1
"514","MS1_sbs_1010_5257",4
"515","MS1_sbs_1014_5257",19
"516","MS1_sbs_1015_5257",17
"517","MS1_sbs_1017_5454",19
"518","MS1_sbs_1020_5257",19
"519","MS1_sbs_1021_5454",19
"520","MS1_sbs_1022_5454",14
"521","MS1_sbs_1023_5257",11
"522","MS1_sbs_1024_5257",16
"523","MS1_sbs_1026_5455",10
"524","MS1_sbs_1028_5455",2
"525","MS1_sbs_1030_5257",14
"526","MS1_sbs_1031_5455",10
"527","MS1_sbs_1032_5454",1
"528","MS1_sbs_1033_5454",19
"529","MS1_sbs_1036_5257",12
"530","MS1_sbs_1037_5257",2
"531","MS1_sbs_1038_5455",7
"532","MS1_sbs_1041_5455",1
"533","MS1_sbs_1044_5257",15
"534","MS1_sbs_1045_5257",19
"535","MS1_sbs_1049_5454",11
"536","MS1_sbs_1050_5257",16
"537","MS1_sbs_1052_5454",16
"538","MS1_sbs_1054_5257",16
"539","MS1_sbs_1056_5454",14
"540","MS1_sbs_1063_5257",10
"541","MS1_sbs_1064_5257",19
"542","MS1_sbs_1065_5454",14
"543","MS1_sbs_1069_5455",1
"544","MS1_sbs_1070_5454",5
"545","MS1_sbs_1071_5257",15
"546","MS1_sbs_1074_5454",4
"547","MS1_sbs_1077_5454",12
"548","MS1_sbs_1079_5454",6
"549","MS1_sbs_1080_5257",0
"550","MS1_sbs_1082_5455",5
"551","MS1_sbs_1083_5454",1
"552","MS1_sbs_1085_5257",13
"553","MS1_sbs_1089_5257",4
"554","MS1_sbs_1090_5455",11
"555","MS1_sbs_1093_5454",9
"556","MS1_sbs_1095_5455",3
"557","MS1_sbs_1096_5455",2
"558","MS1_sbs_1099_5454",11
"559","MS1_sbs_1100_5257",19
"560","MS1_sbs_1102_5454",19
"561","MS1_sbs_1104_5454",14
"562","MS1_sbs_1106_5454",15
"563","MS1_sbs_1107_5257",14
"564","MS1_sbs_1108_5455",6
"565","MS1_sbs_1111_5454",5
"566","MS1_sbs_1112_5455",2
"567","MS1_sbs_1115_5257",14
"568","MS1_sbs_1117_5455",6
"569","MS1_sbs_1118_5454",11
"570","MS1_sbs_1119_5257",1
"571","MS1_sbs_1120_5455",5
"572","MS1_sbs_1122_5257",19
"573","MS1_sbs_1123_5257",0
"574","MS1_sbs_1124_5257",0
"575","MS1_sbs_1125_5257",17
"576","MS1_sbs_1126_5257",18
"577","MS1_sbs_1129_5257",6
"578","MS1_sbs_1135_5257",17
"579","MS1_sbs_1136_5455",3
"580","MS1_sbs_1138_5455",5
"581","MS1_sbs_1142_5257",18
"582","MS1_sbs_1143_5257",12
"583","MS1_sbs_1145_5257",11
"584","MS1_sbs_1146_5257",14
"585","MS1_sbs_1147_5257",20
"586","MS1_sbs_1148_5257",5
"587","MS1_sbs_1150_5257",15
"588","MS1_sbs_1152_5257",14
"589","MS1_sbs_1154_5257",6
"590","MS1_sbs_1155_5257",0
"591","MS1_sbs_1156_5257",18
"592","MS1_sbs_1157_5257",0
"593","MS1_sbs_1158_5257",17
